,latitude,longitude,price,categories,otherneigbours,own_category,vietnameseneigbours,sushineigbours,pubsneigbours,pizzaneigbours,kebabneigbours,italianneigbours,icecreamneigbours,hotdogsneigbours,germanneigbours,divebarsneigbours,cocktailbarsneigbours,cafesneigbours,burgersneigbours,barsneigbours,bakeriesneigbours,distanceToMitte
143,52.487918900000004,13.331359900000002,2.0,german,113,252,10,10,4,2,4,11,2,122,4,2,0,122,2,4,9,6689
144,52.4758551,13.340102100000001,2.0,cafes,50,112,1,2,1,5,1,6,1,52,0,1,0,52,1,3,2,7176
145,52.508030000000005,13.31816,1.0,museums,196,409,8,6,1,1,0,35,4,204,13,2,5,204,6,22,8,6471
146,52.50104,13.318629999999999,3.0,cafes,278,610,9,17,4,6,0,44,3,295,25,0,7,295,4,22,17,6703
147,52.488643,13.301216,2.0,desserts,21,44,1,0,1,4,0,1,0,21,4,2,0,21,0,2,0,8368
148,52.5012,13.298,1.0,foodstands,236,500,13,5,3,6,2,36,2,248,11,2,9,248,2,29,12,8006
149,52.50104,13.318629999999999,3.0,cafes,278,610,9,17,4,6,0,44,3,295,25,0,7,295,4,22,17,6703
150,52.456185,13.322726000000001,1.0,chickenshop,62,136,0,6,2,3,1,5,5,68,1,1,1,68,0,6,6,9618
151,52.481939000000004,13.320573999999999,1.0,currysausage,88,192,3,1,4,10,5,10,1,96,3,4,0,96,2,6,8,7676
152,52.5033699,13.317449900000002,3.0,italian,322,776,18,15,4,6,0,49,6,339,21,0,7,339,4,28,17,6681
153,52.48966,13.318729999999999,1.0,cafes,103,224,8,4,2,8,6,9,1,109,3,5,0,109,2,8,6,7284
154,52.5003,13.3095,2.0,tea,297,642,15,11,4,5,3,41,4,320,15,0,10,320,2,33,23,7308
155,52.5088,13.3143,2.0,greek,227,487,13,5,1,3,2,35,8,241,10,2,4,241,8,21,14,6700
156,52.5002599952876,13.3036586215312,2.0,sushi,267,584,11,4,4,9,0,39,5,288,14,2,12,288,2,36,21,7680
157,52.50221,13.304089999999999,2.0,hookah_bars,339,727,18,5,4,9,0,49,9,363,17,3,9,363,6,35,24,7579
158,52.48816,13.337829999999999,2.0,greek,100,216,8,5,2,3,4,11,3,106,4,0,0,106,0,3,6,6328
159,52.511382774260596,13.300496384272499,2.0,bakeries,198,423,11,2,3,4,5,27,6,207,9,3,2,207,8,14,9,7548
160,52.498380000000004,13.30691,1.0,cocktailbars,217,496,10,8,4,4,3,28,2,239,12,0,9,239,0,27,22,7551
161,52.5009470395339,13.345990542716901,2.0,argentine,125,264,3,1,3,2,5,16,4,132,11,4,4,132,1,21,7,5048
162,52.50773,13.30981,1.0,icecream,300,650,17,7,3,4,2,49,9,316,14,4,6,316,10,33,16,7025
163,52.49841,13.31835,2.0,restaurants,232,499,5,12,5,3,0,31,1,248,21,0,8,248,2,23,16,6839
164,52.48966,13.318729999999999,1.0,cafes,103,224,8,4,2,8,6,9,1,109,3,5,0,109,2,8,6,7284
165,52.5056022,13.334892300000002,2.0,international,147,299,1,3,4,1,5,10,1,149,18,2,5,149,1,14,2,5488
166,52.4846168107847,13.3456923812628,2.0,oriental,52,112,6,2,2,3,1,4,1,56,3,0,0,56,0,1,4,6202
167,52.505497075341,13.3019478991628,2.0,cocktailbars,313,666,19,5,3,9,4,44,11,330,12,3,3,330,7,28,17,7607
168,52.48555,13.3278,1.0,pubs,105,234,7,8,3,5,3,10,1,114,3,5,0,114,2,7,9,7041
169,52.49755,13.31819,3.0,french,227,484,5,12,5,6,3,27,1,241,18,0,6,241,2,18,14,6890
170,52.50893000000001,13.29432,3.0,cafes,123,268,8,0,2,5,3,20,5,125,7,2,2,125,3,10,2,8014
171,52.5064316,13.317910199999998,3.0,wine_bars,237,496,12,6,2,3,0,40,4,246,19,2,6,246,6,24,9,6540
172,52.494609999999994,13.304470000000002,2.0,pizza,145,320,1,3,2,6,5,18,0,154,7,2,10,154,0,20,9,7872
173,52.5055488,13.313683,2.0,karaoke,301,638,18,8,3,6,1,48,10,319,15,1,6,319,7,28,18,6843
174,52.502731299999994,13.309189800000002,2.0,italian,412,996,19,12,4,9,1,63,9,435,19,3,11,435,6,44,23,7233
175,52.510769999999994,13.313870000000001,2.0,african,181,376,9,3,0,1,2,27,5,188,6,2,2,188,8,17,7,6675
176,52.4998817,13.3144102,3.0,bars,304,693,12,15,7,6,3,42,3,323,19,0,12,323,3,31,19,7017
177,52.4732192,13.313119400000001,2.0,italian,34,96,0,1,0,0,0,8,0,40,5,3,0,40,0,3,6,8684
178,52.506431675293896,13.3150096339464,2.0,persian,274,580,15,6,1,3,1,43,8,289,15,2,5,289,6,24,15,6727
179,52.503530000000005,13.32461,2.0,breakfast_brunch,253,518,5,13,4,3,0,38,2,258,27,0,8,258,3,23,5,6222
180,52.50699,13.29641,1.0,vietnamese,165,360,8,0,1,5,5,22,5,172,6,2,2,172,3,14,7,7926
181,52.4915,13.318270000000002,2.0,bavarian,124,261,9,6,2,8,6,8,2,128,4,5,0,128,4,9,4,7204
182,52.491704799999994,13.319541500000001,2.0,bistros,146,304,9,6,2,8,6,12,2,152,5,5,1,152,4,14,6,7118
183,52.430640000000004,13.316296,2.0,currysausage,5,12,0,0,0,0,0,0,0,6,1,0,0,6,0,0,1,12212
