coordinates.latitude,coordinates.longitude,rating,review_count,price,categories.0.alias
52.4700755443899,13.3334722369909,3.5,3,€,panasian
52.47686,13.3308401,3.5,4,€€,italian
52.49907,13.3005,4,10,€€,chinese
52.46929,13.33259,5,1,€€,bakeries
52.498886,13.342039,5,5,€€,beer_and_wine
52.498531,13.317909,3.5,17,€€,bakeries
52.4649015736527,13.3281913349792,2,6,€€,hotdogs
52.4989606,13.3109223,5,4,€€€,italian
52.45528,13.31969,3,4,€€,cafes
52.4578,13.3265,5,1,,landmarks
52.4677014750681,13.3423583099017,2.5,12,€€,pizza
52.4729724126496,13.3274140241774,5,1,,cafes
52.499772,13.312606,4,7,,italian
52.4729442349939,13.3278053998947,5,1,,kebab
52.4992151473836,13.3125412727443,4,11,€,bakeries
52.4884119670258,13.3401891187292,3.5,7,€€,cafes
52.471981,13.3350496,4,2,,bakeries
52.4724673582644,13.311150893569,5,1,,parks
52.486099,13.33639,3,14,€€,vietnamese
52.4395,13.3423,4.5,5,€,divebars
52.49838,13.30691,5,4,€,cocktailbars
52.4752995460835,13.3403973153443,5,7,€€,divebars
52.48693,13.3228,4,5,€€,pizza
52.4348699,13.34248,3.5,14,€€€€,kebab
52.4804,13.3236,3,6,€€,cafes
52.4979,13.3398,4,7,€€,bakeries
52.4653,13.3284,3.5,2,€€,coffee
52.48624,13.32157,5,2,€,bakeries
52.4469,13.3427,3,16,€€,italian
52.49245,13.32368,3.5,10,€€,german
52.49607,13.3282399,5,3,€€,bistros
52.4988,13.3226,5,4,€€€,bakeries
52.50098,13.34236,3,25,€€,german
52.44034,13.32741,4.5,3,€€€,italian
52.456336,13.321702,5,1,€,tradamerican
52.488317,13.335955,4,5,€€€€,tobaccoshops
52.476944,13.32056,5,1,€€,italian
52.486679,13.326097,4.5,3,€,bakeries
52.4973,13.3204499,3.5,12,€€,sushi
52.49624,13.32255,4,5,,cafes
52.4863799,13.31972,4.5,2,€,oriental
52.4615,13.3387,5,1,,parks
52.49132,13.33143,4,6,€,bistros
52.4641,13.3279,2.5,3,€,bakeries
52.493,13.3228,3.5,13,€€,russian
52.5001693516126,13.301185215404,5,4,,cafes
52.49631,13.32384,4,7,€€,cafes
52.4716988,13.3253803,4,2,€€,cafes
52.499773,13.330307,3.5,11,€€,gaybars
52.496253,13.342973,4,7,€€,bakeries
52.4986,13.3169899999999,5,4,€,portuguese
52.4537424,13.315628,5,1,,icecream
52.4682,13.34246,4.5,2,,cafes
52.4627869604226,13.3234438250229,4,1,,thai
52.4618755231836,13.3390292180388,5,1,,kebab
52.49674,13.33484,5,4,€,coffee
52.50061,13.34115,4,12,€,cafes
52.44757,13.30524,3.5,5,€€,turkish
52.478125,13.328136,5,1,,cafes
52.466184,13.30659,3.5,3,,vietnamese
52.487,13.3417,4,5,€€,bakeries
52.4614050046682,13.3116512521625,3.5,2,€,german
52.474036,13.315355,3.5,2,€€,cafes
52.4814,13.3202,3,5,€€,bakeries
52.4776457382562,13.328736461699,5,1,,foodstands
52.5003,13.3107,4.5,5,,landmarks
52.48112,13.32014,4.5,2,€€€,hookah_bars
52.4992229913957,13.3129758387207,5,3,€€,italian
52.458156,13.321541,3.5,2,€€,icecream
52.49796,13.32345,4,5,€€,coffee
52.4885782,13.3427051,4,5,€,hotdogs
