,latitude,longitude,price,categories,otherneigbours,own_category,vietnameseneigbours,sushineigbours,pubsneigbours,pizzaneigbours,kebabneigbours,italianneigbours,icecreamneigbours,hotdogsneigbours,germanneigbours,divebarsneigbours,cocktailbarsneigbours,cafesneigbours,burgersneigbours,barsneigbours,bakeriesneigbours,distanceToMitte
734,52.491113,13.331259,2.0,indpak,109,3,7,6,2,2,2,14,1,112,6,2,1,112,2,7,10,6485
735,52.4994729024895,13.342289663851302,2.0,divebars,67,2,1,0,0,3,2,6,2,69,5,2,2,69,1,9,5,5348
736,52.45349,13.315,2.0,german,47,2,0,1,0,1,2,6,6,49,2,1,1,49,1,4,1,10179
737,52.51141,13.29785,1.0,icecream,197,8,14,2,6,5,5,27,8,205,9,1,4,205,4,14,7,7724
738,52.494942599999995,13.3263965,2.0,arabian,150,1,3,6,1,4,1,17,2,151,7,2,1,151,3,15,11,6534
739,52.505497075341,13.3019478991628,2.0,cocktailbars,436,6,23,10,6,13,6,47,11,442,20,4,6,442,7,39,19,7607
740,52.4588,13.3422,1.0,italian,12,1,0,0,1,1,1,1,0,13,1,0,0,13,1,0,1,8620
741,52.50492489999999,13.299574800000002,2.0,cafes,364,38,20,10,5,13,6,41,10,402,18,4,5,402,7,32,17,7779
742,52.50123000000001,13.30785,1.0,icecream,498,8,17,16,7,12,4,55,8,506,21,6,14,506,1,55,24,7375
743,52.5051032672375,13.3001729153442,3.0,italian,378,41,23,10,5,13,6,41,11,419,18,4,7,419,7,35,17,7734
744,52.511419999999994,13.30856,1.0,argentine,257,0,8,3,3,6,6,25,10,257,10,4,0,257,7,15,9,7011
745,52.488159200000005,13.337829600000001,1.0,sushi,58,2,5,2,1,2,2,8,1,60,3,0,0,60,0,2,3,6328
746,52.4734,13.3223,3.0,divebars,65,3,2,2,0,3,1,11,1,68,3,3,0,68,0,6,6,8210
747,52.506206000000006,13.299714000000002,2.0,burgers,340,6,21,5,6,8,6,31,9,346,16,4,5,346,6,31,11,7731
748,52.5053,13.3017,2.0,bars,408,40,23,10,5,13,6,48,11,448,20,4,7,448,7,40,19,7629
749,52.4668,13.3076,2.0,cafes,17,3,0,0,1,0,0,3,0,20,1,1,0,20,0,1,2,9441
750,52.472584999999995,13.314667000000002,1.0,italian,44,11,0,1,0,1,0,11,0,55,4,4,0,55,0,5,7,8652
751,52.50696,13.30683,2.0,coffee,428,9,27,9,4,15,6,50,10,437,16,3,8,437,9,32,20,7243
752,52.5066,13.3059,2.0,german,423,18,27,12,7,13,6,48,10,441,18,3,6,441,9,27,22,7315
753,52.50019,13.32375,2.0,restaurants,204,3,5,12,1,6,0,27,1,207,13,0,4,207,4,21,7,6423
754,52.494609999999994,13.304470000000002,2.0,pizza,203,9,4,3,4,9,6,19,1,212,10,7,9,212,0,30,9,7872
755,52.4993215821881,13.3055115926631,3.0,chinese,357,9,13,12,7,9,1,40,3,366,17,4,14,366,0,41,19,7600
756,52.50156,13.334729999999999,2.0,panasian,79,1,1,2,0,3,2,9,1,80,8,3,2,80,1,11,5,5685
757,52.5251,13.30291,3.0,restaurants,26,0,1,1,1,0,0,2,1,26,1,0,1,26,0,2,1,7242
758,52.498491516012294,13.3148485950947,2.0,austrian,337,4,11,17,6,10,1,43,3,341,17,2,9,341,3,35,20,7052
759,52.481939000000004,13.320573999999999,1.0,currysausage,78,0,2,1,2,8,4,8,0,78,2,2,0,78,2,4,8,7676
760,52.50025,13.30596,4.0,steak,409,8,16,14,7,13,3,45,4,417,19,3,16,417,0,45,23,7534
761,52.43165,13.338120000000002,2.0,italian,6,0,0,0,0,2,1,0,0,6,0,0,0,6,0,0,1,11410
762,52.4804,13.3236,2.0,cafes,64,5,2,1,1,8,0,7,1,69,2,1,0,69,2,2,9,7624
763,52.4674,13.3316,1.0,mediterranean,126,0,4,3,1,7,3,13,5,126,5,3,1,126,3,12,10,8267
764,52.4537,13.3169,2.0,sushi,55,0,0,0,1,2,3,7,6,55,2,1,1,55,1,4,1,10080
765,52.5084,13.3093,1.0,cafes,349,19,22,6,3,7,6,43,8,368,16,4,8,368,10,32,14,7039
766,52.466051985172996,13.309297854678302,2.0,german,21,0,1,0,1,0,0,3,0,21,0,1,0,21,0,1,2,9414
767,52.507740000000005,13.309070000000002,2.0,mediterranean,409,3,23,13,5,9,6,49,10,412,18,3,8,412,10,35,18,7073
768,52.499222991395705,13.312975838720698,2.0,italian,324,41,13,18,8,9,1,41,3,365,15,2,9,365,3,38,20,7135
769,52.4348699,13.342479999999998,4.0,kebab,8,0,0,0,0,2,0,1,0,8,0,1,0,8,0,1,1,10960
770,52.50408,13.315759900000002,2.0,greek,430,9,22,17,4,12,4,52,4,439,19,2,6,439,9,36,20,6762
771,52.5084,13.3093,1.0,cafes,349,19,22,6,3,7,6,43,8,368,16,4,8,368,10,32,14,7039
772,52.5007428531277,13.2981237828034,2.0,bistros,311,5,16,9,6,9,2,38,3,316,15,6,11,316,2,39,11,8015
773,52.464369999999995,13.326039999999999,1.0,cafes,107,14,2,8,3,4,2,11,5,121,3,4,1,121,1,13,12,8769
774,52.52556,13.311329999999998,2.0,cocktailbars,15,0,0,0,0,0,0,0,0,15,0,0,0,15,0,1,1,6672
